6069 + , + 8602 + , + 1445047130 + , + 0.6 + , + browsing + , + null
22070 + , + 524 + , + 1445047130 + , + 0.6 + , + browsing + , + null
26176 + , + 17084 + , + 1445047130 + , + 0.6 + , + browsing + , + null
10670 + , + 6646 + , + 1445047130 + , + 0.6 + , + browsing + , + null
16391 + , + 4723 + , + 1445047130 + , + 0.6 + , + browsing + , + null
12201 + , + 2012 + , + 1445047130 + , + 0.6 + , + browsing + , + null
3078 + , + 18310 + , + 1445047130 + , + 0.6 + , + browsing + , + null
12302 + , + 18522 + , + 1445047130 + , + 0.6 + , + browsing + , + null
17106 + , + 1131 + , + 1445047130 + , + 0.6 + , + browsing + , + null
22806 + , + 15520 + , + 1445047130 + , + 0.6 + , + browsing + , + null
20799 + , + 17028 + , + 1445047130 + , + 0.6 + , + browsing + , + null
12254 + , + 15889 + , + 1445047130 + , + 0.6 + , + browsing + , + null
31186 + , + 13595 + , + 1445047130 + , + 0.6 + , + browsing + , + null
32174 + , + 20382 + , + 1445047130 + , + 0.6 + , + browsing + , + null
24810 + , + 24607 + , + 1445047130 + , + 0.6 + , + browsing + , + null
17927 + , + 2273 + , + 1445047130 + , + 0.6 + , + browsing + , + null
12205 + , + 24220 + , + 1445047130 + , + 0.6 + , + browsing + , + null
4462 + , + 5881 + , + 1445047130 + , + 0.6 + , + browsing + , + null
31155 + , + 5372 + , + 1445047130 + , + 0.6 + , + browsing + , + null
6395 + , + 28456 + , + 1445047130 + , + 0.6 + , + browsing + , + null
20853 + , + 19199 + , + 1445047130 + , + 0.6 + , + browsing + , + null
7840 + , + 3886 + , + 1445047130 + , + 0.6 + , + browsing + , + null
14196 + , + 27004 + , + 1445047130 + , + 0.6 + , + browsing + , + null
32314 + , + 26467 + , + 1445047130 + , + 0.6 + , + browsing + , + null
20521 + , + 22485 + , + 1445047130 + , + 0.6 + , + browsing + , + null
17242 + , + 19094 + , + 1445047130 + , + 0.6 + , + browsing + , + null
3248 + , + 13627 + , + 1445047130 + , + 0.6 + , + browsing + , + null
